ID,,,NAME,ADDR,X,Y,CO_NAME,TO_NAME,MF,STU_CNT,AB_STU_CNT,AB1_STU_CNT,AB2_STU_CNT,AB3_STU_CNT,AB4_STU_CNT,AB5_STU_CNT,AB6_STU_CNT,AB7_STU_CNT,AB8_STU_CNT,AB9_STU_CNT,AB10_STU_CNT,AB11_STU_CNT,AB12_STU_CNT,AB13_STU_CNT,AB14_STU_CNT,AB15_STU_CNT,AB16_STU_CNT,AB17_STU_CNT,INFO_TIME
識別碼,,,名稱,地址,X坐標,Y坐標,縣市名稱,鄉鎮市區名稱,原住民族部落國小山地別,原住民族部落國小學生總數,原住民族部落國小原住民學生數,原住民族部落國小阿美族學生數,原住民族部落國小泰雅族學生數,原住民族部落國小排灣族學生數,原住民族部落國小布農族學生數,原住民族部落國小卑南族學生數,原住民族部落國小鄒_曹_族學生數,原住民族部落國小魯凱族學生數,原住民族部落國小賽夏族學生數,原住民族部落國小雅美族學生數,原住民族部落國小邵族學生數,原住民族部落國小噶瑪蘭族學生數,原住民族部落國小太魯閣族學生數,原住民族部落國小撒奇萊雅學生數,原住民族部落國小賽德克族學生數,原住民族部落國小拉阿魯哇族學生數,原住民族部落國小卡那卡那富族學生數,原住民族部落國小其他族學生數,資料時間
34741,34741,,市立巴崚國小,[336]桃園市復興區華陵里九鄰75號,290206.82,2731020.93,[03]桃園市,復興區,山,46,45,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44601,44601,,縣立關西國小,[306]新竹縣關西鎮西安里中山路126號,255474.945,2732871.222,[04]新竹縣,關西鎮,平,571,19,3,10,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,107Y
44602,44602,,縣立東安國小,[306]新竹縣關西鎮東安里中山東路40號,268595.836,2742563.914,[04]新竹縣,關西鎮,平,246,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44604,44604,,縣立坪林國小,[306]新竹縣關西鎮上林里坪林11號,264179.117,2743740.515,[04]新竹縣,關西鎮,平,42,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44607,44605,,縣立東光國小,[306]新竹縣關西鎮東光里190號,267798.204,2741023.118,[04]新竹縣,關西鎮,平,42,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44608,44607,,縣立錦山國小,[306]新竹縣關西鎮金山里107號,272786.201,2740175.093,[04]新竹縣,關西鎮,平,53,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44609,44608,,縣立玉山國小,[306]新竹縣關西鎮玉山里四鄰25號,271105,2738940.01,[04]新竹縣,關西鎮,平,62,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44666,44609,,縣立尖石國小,[313]新竹縣尖石鄉嘉樂村六鄰7號,269492.768,2732463.7,[04]新竹縣,尖石鄉,山,21,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44667,44666,,縣立嘉興國小,[313]新竹縣尖石鄉嘉樂村三鄰177號,271319.706,2733148.24,[04]新竹縣,尖石鄉,山,87,83,0,81,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44668,44667,,縣立新樂國小,[313]新竹縣尖石鄉新樂村一鄰10號,275336.492,2736088.462,[04]新竹縣,尖石鄉,山,123,112,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44669,44668,,縣立梅花國小,[313]新竹縣尖石鄉梅花村1鄰25號,271145.952,2730106.331,[04]新竹縣,尖石鄉,山,62,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44670,44669,,縣立錦屏國小,[313]新竹縣尖石鄉錦屏村十鄰116號,274975.23,2730385.066,[04]新竹縣,尖石鄉,山,43,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44671,44670,,縣立玉峰國小,[313]新竹縣尖石鄉玉峰村五鄰59號,280486.753,2728165.57,[04]新竹縣,尖石鄉,山,31,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44672,44671,,縣立石磊國小,[313]新竹縣尖石鄉玉峰村十鄰49號,283039.911,2727665.272,[04]新竹縣,尖石鄉,山,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44673,44672,,縣立秀巒國小,[313]新竹縣尖石鄉秀巒村四鄰19號,278923.448,2723520.106,[04]新竹縣,尖石鄉,山,74,72,2,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44674,44673,,縣立新光國小,[313]新竹縣尖石鄉秀巒村八鄰17號,280705.691,2719282.015,[04]新竹縣,尖石鄉,山,60,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
44675,44674,,縣立五峰國小,[311]新竹縣五峰鄉大隘村六鄰123號,261923.95,2724828.92,[04]新竹縣,五峰鄉,山,73,73,0,46,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,107Y
44676,44675,,縣立桃山國小,[311]新竹縣五峰鄉桃山村15鄰243號,260677.177,2718697.496,[04]新竹縣,五峰鄉,山,66,65,1,61,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,107Y
44677,44676,,縣立花園國小,[311]新竹縣五峰鄉花園村八鄰174號,265336,2726800.01,[04]新竹縣,五峰鄉,山,34,34,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107Y
54668,44677,,縣立南庄國小,[353]苗栗縣南庄鄉東村文化路3號,249929.67,2721513.64,[05]苗栗縣,南庄鄉,平,146,53,0,29,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,107Y
54669,54668,,縣立田美國小,[353]苗栗縣南庄鄉田美村九鄰191號,250858.76,2724723.66,[05]苗栗縣,南庄鄉,平,51,6,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,107Y
54670,54669,,縣立南埔國小,[353]苗栗縣南庄鄉南富村134號,247273.08,2725370.98,[05]苗栗縣,南庄鄉,平,63,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
54671,54670,,縣立東河國小,[353]苗栗縣南庄鄉東河村三鄰132號,254090.81,2721539.14,[05]苗栗縣,南庄鄉,平,43,37,1,9,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,107Y
54672,54671,,縣立蓬萊國小,[353]苗栗縣南庄鄉蓬萊村19鄰118號,247043.643,2715139.401,[05]苗栗縣,南庄鄉,平,34,22,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,107Y
54698,54672,,縣立獅潭國小,[354]苗栗縣獅潭鄉新店村129號,241952.6,2714840.41,[05]苗栗縣,獅潭鄉,平,39,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,107Y
54700,54698,,縣立永興國小,[354]苗栗縣獅潭鄉永興村6鄰55-1號,243567.45,2718559.98,[05]苗栗縣,獅潭鄉,平,20,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,107Y
54707,54700,,縣立泰安國(中)小,[365]苗栗縣泰安鄉大興村32之1號,240796.37,2701696.9,[05]苗栗縣,泰安鄉,山,6,5,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
54708,54707,,縣立泰興國小,[365]苗栗縣泰安鄉中興村1鄰2號,241954.51,2698687.83,[05]苗栗縣,泰安鄉,山,28,27,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,107Y
